;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 03/15/2016 08:38:51
;----------------------------------------------

;Address Opcode 	ASM
0x0000	0x293B      	GOTO       315
_systick_INT:
0x0004	0x00FF      	MOVWF      R15
0x0005	0x0E03      	SWAPF      STATUS, 0
0x0006	0x0183      	CLRF       STATUS
0x0007	0x00D4      	MOVWF      ___saveSTATUS
0x0008	0x080A      	MOVF       PCLATH, 0
0x0009	0x00D3      	MOVWF      ___savePCLATH
0x000A	0x018A      	CLRF       PCLATH
0x000B	0x0870      	MOVF       R0, 0
0x000C	0x00A4      	MOVWF      36
0x000D	0x0871      	MOVF       R1, 0
0x000E	0x00A3      	MOVWF      35
0x000F	0x0872      	MOVF       R2, 0
0x0010	0x00A2      	MOVWF      34
0x0011	0x0874      	MOVF       R4, 0
0x0012	0x00A1      	MOVWF      33
0x0013	0x087C      	MOVF       R12, 0
0x0014	0x00A0      	MOVWF      32
0x0015	0x0804      	MOVF       FSR, 0
0x0016	0x00A5      	MOVWF      37
;main.c,28 :: 		void systick_INT() iv 0x0004 ics ICS_AUTO
;main.c,30 :: 		if (TMR2IF_bit)
0x0017	0x1C8C      	BTFSS      TMR2IF_bit, BitPos(TMR2IF_bit+0)
0x0018	0x285D      	GOTO       L_systick_INT33
;main.c,32 :: 		TMR2IF_bit = 0;
0x0019	0x108C      	BCF        TMR2IF_bit, BitPos(TMR2IF_bit+0)
;main.c,33 :: 		OS_Timer();
0x001A	0x01D9      	CLRF       systick_INT__os_i_L3
L_systick_INT34:
0x001B	0x3005      	MOVLW      5
0x001C	0x0259      	SUBWF      systick_INT__os_i_L3, 0
0x001D	0x1803      	BTFSC      STATUS, 0
0x001E	0x285D      	GOTO       L_systick_INT35
0x001F	0x3005      	MOVLW      5
0x0020	0x00F0      	MOVWF      R0
0x0021	0x0859      	MOVF       systick_INT__os_i_L3, 0
0x0022	0x00F4      	MOVWF      R4
0x0023	0x20D8      	CALL       _Mul_8X8_U
0x0024	0x0870      	MOVF       R0, 0
0x0025	0x3E30      	ADDLW      __OS_Tasks
0x0026	0x0084      	MOVWF      FSR
0x0027	0x0800      	MOVF       INDF, 0
0x0028	0x00F0      	MOVWF      R0
0x0029	0x1E70      	BTFSS      R0, 4
0x002A	0x285B      	GOTO       L_systick_INT37
0x002B	0x3005      	MOVLW      5
0x002C	0x00F0      	MOVWF      R0
0x002D	0x0859      	MOVF       systick_INT__os_i_L3, 0
0x002E	0x00F4      	MOVWF      R4
0x002F	0x20D8      	CALL       _Mul_8X8_U
0x0030	0x3030      	MOVLW      __OS_Tasks
0x0031	0x07F0      	ADDWF      R0, 1
0x0032	0x3003      	MOVLW      3
0x0033	0x0770      	ADDWF      R0, 0
0x0034	0x00F2      	MOVWF      R2
0x0035	0x0872      	MOVF       R2, 0
0x0036	0x0084      	MOVWF      FSR
0x0037	0x0800      	MOVF       INDF, 0
0x0038	0x3E01      	ADDLW      1
0x0039	0x00F0      	MOVWF      R0
0x003A	0x3000      	MOVLW      0
0x003B	0x1803      	BTFSC      STATUS, 0
0x003C	0x3E01      	ADDLW      1
0x003D	0x0A84      	INCF       FSR, 1
0x003E	0x0700      	ADDWF      INDF, 0
0x003F	0x00F1      	MOVWF      R0+1
0x0040	0x0872      	MOVF       R2, 0
0x0041	0x0084      	MOVWF      FSR
0x0042	0x0870      	MOVF       R0, 0
0x0043	0x0080      	MOVWF      INDF
0x0044	0x0871      	MOVF       R0+1, 0
0x0045	0x0A84      	INCF       FSR, 1
0x0046	0x0080      	MOVWF      INDF
0x0047	0x0872      	MOVF       R2, 0
0x0048	0x0084      	MOVWF      FSR
0x0049	0x0800      	MOVF       INDF, 0
0x004A	0x00F0      	MOVWF      R0
0x004B	0x0A84      	INCF       FSR, 1
0x004C	0x0800      	MOVF       INDF, 0
0x004D	0x00F1      	MOVWF      R0+1
0x004E	0x0870      	MOVF       R0, 0
0x004F	0x0471      	IORWF      R0+1, 0
0x0050	0x1D03      	BTFSS      STATUS, 2
0x0051	0x285B      	GOTO       L_systick_INT38
0x0052	0x3005      	MOVLW      5
0x0053	0x00F0      	MOVWF      R0
0x0054	0x0859      	MOVF       systick_INT__os_i_L3, 0
0x0055	0x00F4      	MOVWF      R4
0x0056	0x20D8      	CALL       _Mul_8X8_U
0x0057	0x0870      	MOVF       R0, 0
0x0058	0x3E30      	ADDLW      __OS_Tasks
0x0059	0x0084      	MOVWF      FSR
0x005A	0x1200      	BCF        INDF, 4
L_systick_INT38:
L_systick_INT37:
0x005B	0x0AD9      	INCF       systick_INT__os_i_L3, 1
0x005C	0x281B      	GOTO       L_systick_INT34
L_systick_INT35:
;main.c,34 :: 		}
L_systick_INT33:
;main.c,35 :: 		}
L_end_systick_INT:
L__systick_INT47:
0x005D	0x0824      	MOVF       36, 0
0x005E	0x00F0      	MOVWF      R0
0x005F	0x0823      	MOVF       35, 0
0x0060	0x00F1      	MOVWF      R1
0x0061	0x0822      	MOVF       34, 0
0x0062	0x00F2      	MOVWF      R2
0x0063	0x0821      	MOVF       33, 0
0x0064	0x00F4      	MOVWF      R4
